character x y
<blank> 14.770888328552246 -42.34156036376953
<unk> -16.392749786376953 -10.335437774658203
<s> 15.409915924072266 -43.85918426513672
</s> -25.00165367126465 4.4585065841674805
<aar> -20.069515228271484 -17.248149871826172
l 1.577612280845642 -12.64073371887207
a 13.689409255981445 -28.766817092895508
g -20.322696685791016 38.718528747558594
o -20.874481201171875 -39.448280334472656
<abk> 33.651615142822266 -32.35555648803711
- 33.88459396362305 -23.158117294311523
т 37.559871673583984 18.838329315185547
ә 7.326929092407227 -53.300994873046875
ҭ 29.16352081298828 18.01895523071289
ҽ 16.035358428955078 43.95201873779297
ҵ 5.484355926513672 44.38947677612305
а 16.617822647094727 -27.676729202270508
ж -33.07071304321289 -3.1631338596343994
ь 33.980560302734375 -20.033029556274414
ы -11.675957679748535 -52.423484802246094
р 6.477859973907471 -14.501153945922852
н 28.874225616455078 -7.755969047546387
ҳ -12.618999481201172 4.0677947998046875
й 25.397443771362305 -38.3455924987793
ҿ 9.67531681060791 42.251930236816406
ҩ -5.980108737945557 -28.513551712036133
ҧ 18.852344512939453 23.882034301757812
ӡ 26.41409683227539 40.07827377319336
д 39.062843322753906 27.76226043701172
ц 5.224026203155518 44.37776184082031
ҟ 18.640094757080078 17.190692901611328
ҷ 23.5982608795166 37.38056945800781
ҕ 8.739917755126953 12.721368789672852
<aby> -28.310091018676758 10.121573448181152
b 9.39198112487793 19.971513748168945
r 5.76202917098999 -15.56893539428711
m -4.906656742095947 36.62115478515625
e 1.6405494213104248 -49.79631042480469
u -21.304157257080078 -25.44441795349121
<ach> -32.886878967285156 12.49859619140625
t 36.938568115234375 18.647886276245117
<ady> 29.008621215820312 -38.04769515991211
к -24.273216247558594 30.191158294677734
ъ 31.28040885925293 -25.200685501098633
э -5.241531848907471 -37.29847717285156
б 9.304481506347656 20.185304641723633
г -19.97037696838379 37.93492889404297
о -21.741409301757812 -46.830238342285156
х -23.36053466796875 8.657755851745605
у -23.60609245300293 -46.825035095214844
л 3.7768375873565674 -12.002846717834473
ш -34.57563400268555 -5.657878398895264
з -36.526466369628906 2.7614083290100098
п 11.18297290802002 29.843507766723633
i 6.61288595199585 -40.29021453857422
ӏ 26.925954818725586 -25.497793197631836
с -42.651092529296875 -2.460744857788086
и 7.533224105834961 -41.814144134521484
щ -35.81365966796875 -9.021803855895996
я 20.18796157836914 -33.70668029785156
е 4.426380157470703 -49.4328727722168
ч 11.067974090576172 44.635616302490234
м -4.8465962409973145 36.79443359375
ф 0.9194300174713135 26.271493911743164
c -20.13255500793457 24.571380615234375
n 28.799779891967773 -6.695121765136719
в 3.2850592136383057 22.4759578704834
<aek> -8.212881088256836 -33.96497344970703
w -16.55087661743164 -21.185375213623047
<afr> -15.993489265441895 -8.243762016296387
k -25.165889739990234 28.874494552612305
v 3.270616054534912 22.741905212402344
s -46.32412338256836 1.2098736763000488
d 38.90107345581055 27.62934684753418
h -16.937889099121094 5.179435729980469
y -2.9316422939300537 -30.681011199951172
p 11.618663787841797 28.924436569213867
f 1.325013518333435 26.781389236450195
j 25.46721649169922 -39.101741790771484
' 33.02677536010742 -22.626611709594727
<agm> -17.043087005615234 -36.896888732910156
<aht> 9.673864364624023 -48.565006256103516
<aia> -5.736920356750488 24.652536392211914
<ain> -31.840253829956055 -9.927779197692871
= 35.36982345581055 -21.020793914794922
ア 16.116825103759766 -26.084562301635742
レ 9.626080513000488 -14.436361312866211
x -23.783540725708008 22.74446678161621
<aka> 1.1166146993637085 10.309159278869629
<akr> -15.620841979980469 -31.244781494140625
<akz> 24.790956497192383 -23.40165138244629
<ale> -4.3150858879089355 -43.61150360107422
ĝ 23.94416046142578 39.14790344238281
̂ -14.348840713500977 12.302239418029785
<alp> -22.436161041259766 22.225624084472656
<alt> -8.405317306518555 -23.809825897216797
ӧ -9.447099685668945 -29.943876266479492
ј 26.514314651489258 -40.45685577392578
ö -8.729031562805176 -30.299768447875977
ҥ 8.10339069366455 4.44008731842041
<amh> 26.76639747619629 -19.146984100341797
ያ -18.189937591552734 -34.760894775390625
ቸ 11.230949401855469 42.69509506225586
ው -14.076297760009766 -24.221616744995117
በ 7.561314582824707 17.88385581970215
ኣ 13.761245727539062 -29.7745418548584
ች 11.183136940002441 42.210533142089844
ሁ -26.93956756591797 -25.9605770111084
መ -1.5534107685089111 35.130558013916016
ስ -50.238643646240234 0.5143730640411377
ከ -24.696517944335938 29.830917358398438
ረ 8.40212345123291 -12.701952934265137
ም 14.2482328414917 6.577605724334717
፪ -4.3911237716674805 -21.67839241027832
ሻ -37.70123291015625 -6.34555721282959
ን 27.529537200927734 -6.879638195037842
ዋ -11.52929973602295 -23.890438079833984
ዬ -17.277162551879883 -41.481502532958984
ግ -18.963594436645508 39.323326110839844
ደ -27.487781524658203 29.895742416381836
ቆ -22.350107192993164 -41.30979919433594
ር 12.045886993408203 -13.352191925048828
ቁ -25.333589553833008 -25.700729370117188
አ 15.23351764678955 -24.57245445251465
ል 0.630203366279602 -14.687981605529785
የ -17.39717674255371 -40.61783981323242
ነ 26.972545623779297 -3.7070064544677734
ት 38.07627487182617 19.670442581176758
ተ 32.722782135009766 22.039344787597656
ኦ -15.56765079498291 -34.61317825317383
ኤ -1.8264423608779907 -50.5409049987793
ኩ -33.26693344116211 25.71474266052246
ዎ -13.373428344726562 -25.415569305419922
ህ -16.012815475463867 2.439553737640381
ሜ -5.520995140075684 -51.78752899169922
ዳ 42.77231979370117 17.63530921936035
ኛ 8.742720603942871 -2.883768320083618
ና 27.459089279174805 -10.123077392578125
እ -1.9940513372421265 -35.065032958984375
ሱ -48.55118942260742 -7.47048807144165
ቤ 9.194205284118652 18.496562957763672
ጻ -46.41844940185547 -13.531902313232422
ሕ -51.002838134765625 -1.6222095489501953
ፍ 0.44067075848579407 27.097158432006836
ጤ 34.20559310913086 21.22740936279297
ይ -6.891693592071533 -14.754107475280762
ጥ 7.519502639770508 -13.024101257324219
ኝ 3.5289483070373535 -8.081089973449707
ሥ -42.847232818603516 -0.9512679576873779
ራ 12.77684497833252 -14.195594787597656
ዝ -35.65256118774414 3.9557945728302
ገ -21.373579025268555 41.24238586425781
ቃ 0.8501749634742737 -15.505587577819824
ላ 10.448786735534668 -30.878507614135742
ኔ 27.52373504638672 -12.758746147155762
፩ 19.95994758605957 -25.8869571685791
ለ 0.6910057663917542 -14.839118957519531
ጠ 37.7907829284668 16.837120056152344
ቋ -25.754276275634766 31.17612075805664
ሴ -51.74116516113281 -2.2602455615997314
<ami> 20.96368980407715 10.606027603149414
<amm> -8.118880271911621 12.022212028503418
<ang> -25.68789291381836 8.552475929260254
æ 17.592737197875977 -30.60375213623047
þ 27.92328453063965 22.726417541503906
ƿ -15.665144920349121 -22.14585304260254
: -9.36075210571289 -4.5679144859313965
/ -9.410904884338379 -4.5098066329956055
2 -17.589296340942383 -4.930810451507568
0 -14.779669761657715 -34.958778381347656
1 15.575786590576172 11.73453426361084
4 29.570646286010742 -3.837609052658081
ð 28.852628707885742 25.804410934448242
ᚳ -23.7758846282959 29.304922103881836
ē -5.361806392669678 -40.478389739990234
ᚫ 14.244142532348633 -33.70594024658203
<ank> -4.629935264587402 -28.243515014648438
à 10.4959135055542 -26.667612075805664
è 2.7062418460845947 -48.50789260864258
ò -19.07513427734375 -43.284305572509766
<apw> -34.98733139038086 9.862024307250977
<ara> -9.52679443359375 -7.869778633117676
ا 12.658260345458984 -24.7239990234375
ن 26.31934356689453 -7.488174915313721
ج 23.77040672302246 38.50269317626953
ل 1.9339444637298584 -18.292545318603516
ت 32.39287567138672 16.98853874206543
ر 5.458920478820801 -18.287853240966797
أ -12.164151191711426 -34.84288024902344
م -6.253057956695557 34.42360305786133
ؤ 23.64674186706543 -19.292509078979492
ح -12.520513534545898 4.194395542144775
د 37.39293670654297 24.45902442932129
ي 16.25080108642578 -38.15673065185547
ث -45.37437057495117 -3.914451837539673
ف 2.6201014518737793 26.50577163696289
س -47.585655212402344 2.974066734313965
و -16.96920394897461 -25.544742584228516
ذ -33.502159118652344 4.114128112792969
ق -12.14052677154541 25.150798797607422
ب 8.366921424865723 21.715927124023438
غ -14.501920700073242 37.5359001159668
ك -29.03384017944336 31.839536666870117
ع 24.852991104125977 -21.96662712097168
ة -14.719807624816895 -3.6700589656829834
ص -47.484642028808594 3.5995802879333496
ى 17.212072372436523 -23.43006134033203
ز -33.12540817260742 3.2752039432525635
ط 32.574466705322266 17.019977569580078
ش -37.474761962890625 -5.926198482513428
ظ -33.71700668334961 3.7199881076812744
ض -33.389652252197266 4.754024505615234
ه -15.587386131286621 0.7219013571739197
آ 10.159090042114258 -24.74559211730957
إ 24.326251983642578 -20.116016387939453
ئ 8.948420524597168 -46.57575607299805
ء -11.446211814880371 -41.925392150878906
ُ -23.493520736694336 -25.13639259338379
خ -22.347755432128906 9.07754135131836
ٰ 15.521860122680664 -25.79483413696289
ܜ 32.19501876831055 27.501651763916016
َ -12.243586540222168 34.23481369018555
ِ 4.851778507232666 -43.264644622802734
<arc> 17.972639083862305 4.409626483917236
ח 7.612374782562256 11.126547813415527
ו -17.365327835083008 -25.52484893798828
ש -36.954429626464844 -5.51634407043457
ב 6.302708148956299 25.5056095123291
א 25.92729949951172 -20.543216705322266
ת 39.48040771484375 18.760334014892578
י 16.558008193969727 -38.34891891479492
ל 1.8864833116531372 -16.185375213623047
פ 6.465206146240234 26.641263961791992
מ -6.196441650390625 33.98741912841797
ט 39.10789489746094 18.497907638549805
ע 17.153352737426758 14.081775665283203
ד 40.69773864746094 26.56928825378418
ר 5.02155065536499 -17.054529190063477
כ -17.275964736938477 31.49315071105957
ק -12.046396255493164 24.840776443481445
־ 35.21636962890625 -23.69380760192871
נ 29.198593139648438 -11.372944831848145
ג -22.732322692871094 38.079097747802734
ס -48.096343994140625 2.350649833679199
צ -39.360260009765625 8.754849433898926
ז -40.33857345581055 0.6684360504150391
ם -7.132358074188232 33.358272552490234
ה -15.724898338317871 0.9455253481864929
ן 28.879531860351562 -11.662429809570312
ך 6.758352279663086 11.593793869018555
ף 3.7368314266204834 26.52771759033203
<arg> -20.279380798339844 -18.608640670776367
<arn> 16.080759048461914 -30.090150833129883
<arz> 29.028167724609375 -29.209226608276367
چ 12.968308448791504 42.548614501953125
<ast> -15.64869213104248 -9.087650299072266
á 9.420248031616211 -26.229305267333984
í 1.7787973880767822 -35.41997146606445
ñ 7.374434471130371 -2.8554508686065674
ó -20.03233528137207 -42.36933135986328
z -36.44063186645508 3.411665439605713
ü -5.378554821014404 -31.053674697875977
<aud> 23.458370208740234 -23.814502716064453
<ava> 19.22064208984375 -6.346782207489014
<ayl> 26.767108917236328 -21.24601936340332
<aze> 2.9100658893585205 38.59880828857422
ə 8.138139724731445 -52.15992736816406
ı -5.429258823394775 -36.20143127441406
ş -36.559326171875 -7.851093769073486
q -20.349782943725586 33.224998474121094
ç 10.065444946289062 45.16265869140625
ێ -3.6155858039855957 -36.51649856567383
ğ -29.657896041870117 8.996768951416016
һ -17.370012283325195 3.057262897491455
ө -8.88341236114502 -29.31046485900879
ҝ -20.602005004882812 42.71961212158203
ی 10.075139045715332 -41.084285736083984
ک -25.98699951171875 26.384567260742188
<bak> -26.545852661132812 7.0720367431640625
ҡ -11.604718208312988 23.82349395751953
ҫ 27.871944427490234 23.290969848632812
ҙ -32.191856384277344 -2.4013237953186035
ү -9.507040977478027 -28.2319278717041
ң 7.5384602546691895 5.241034030914307
ғ 8.114038467407227 13.449084281921387
ю 21.89006996154785 -46.007789611816406
. 26.846174240112305 4.50775146484375
<bal> -33.95901870727539 12.773823738098145
<ban> -15.49526309967041 -27.83475112915039
<bar> -10.298174858093262 39.84248352050781
<bbc> 18.251920700073242 -6.157650470733643
<bcl> 3.98897647857666 3.356480598449707
<bdr> 21.147769927978516 22.718658447265625
<bel> -14.900548934936523 -17.758962631225586
ў -16.389328002929688 -23.704086303710938
і 3.5178117752075195 -41.60184860229492
<ben> -56.23491287231445 -7.346714019775391
ছ 16.366987228393555 44.855812072753906
ত 37.68113327026367 14.934661865234375
্ 36.635719299316406 -22.180721282958984
র 11.769123077392578 -15.803878784179688
ি 0.01319594494998455 -42.40180969238281
শ -42.80439758300781 -2.6510848999023438
ই 0.300052285194397 -42.010528564453125
ম -2.3631579875946045 37.745147705078125
ু -25.087940216064453 -28.830947875976562
গ -18.691591262817383 41.89219284057617
আ 13.071600914001465 -30.224485397338867
ক -27.79487419128418 33.45111083984375
ে -3.887413501739502 -52.02998352050781
ব 7.403308391571045 21.316082000732422
হ -16.6635799407959 3.9993510246276855
ী 0.22581887245178223 -42.3367805480957
ন 28.970970153808594 -9.228462219238281
ড 11.695598602294922 -17.224475860595703
অ -19.126985549926758 -49.33100128173828
য 17.74693489074707 -2.929598331451416
া 12.17678451538086 -31.32615089416504
থ 27.5119571685791 18.179351806640625
স -42.329097747802734 -2.8885467052459717
ল 0.3766877055168152 -13.020782470703125
ফ 13.229896545410156 25.749526977539062
প 12.014181137084961 26.026891708374023
দ 37.58977127075195 25.643896102905273
ং 6.579362869262695 4.577655792236328
ভ 46.58906173706055 7.234965801239014
ষ -41.92069625854492 1.1702768802642822
ধ 47.65552520751953 20.179758071899414
এ -2.0876224040985107 -52.0080451965332
উ -25.10767936706543 -29.342700958251953
ঘ -25.575939178466797 0.5127354860305786
ো -18.420143127441406 -37.87295150756836
ট 47.41374588012695 18.789493560791016
খ -21.52876853942871 18.74735450744629
় 33.30474853515625 -25.15520477294922
ূ -19.926231384277344 -24.96526336669922
ঁ 39.782894134521484 -19.397146224975586
ঝ 26.54373550415039 20.190853118896484
জ 21.97408103942871 33.123878479003906
ঞ 30.206632614135742 -7.112100601196289
চ 4.066229820251465 44.18791580200195
ণ 30.034603118896484 -5.535621643066406
ঢ 23.135784149169922 17.600679397583008
ঋ 13.335790634155273 -15.933950424194336
ঙ 9.422266960144043 1.223483920097351
ঐ -17.356660842895508 -37.205623626708984
ঠ 23.091320037841797 17.670495986938477
ৎ 36.61532974243164 18.494094848632812
<bis> 19.012880325317383 -50.00755310058594
<bjn> -20.925092697143555 2.7653822898864746
<bnn> -5.6315484046936035 -26.79739761352539
<bod> 19.7283935546875 -21.514211654663086
ཀ -26.309429168701172 29.40854835510254
མ -3.368690252304077 35.887916564941406
ོ -18.814023971557617 -39.794837951660156
