character x y
b+eng 7.760985851287842 -18.72197914123535
b+spa 6.638577461242676 -18.4050235748291
b+deu 7.767178058624268 -18.595605850219727
b+epo 7.237472057342529 -19.128067016601562
b+nld 7.655062675476074 -18.305559158325195
b+fin 7.213405609130859 -18.269569396972656
b+swe 7.4368157386779785 -18.20269012451172
b+por 6.761667728424072 -18.448646545410156
b+ita 7.604331016540527 -19.107181549072266
b+hbs 7.100877285003662 -19.258934020996094
p+eng 5.167950630187988 -21.3720703125
p+spa 4.744927406311035 -20.28169059753418
p+deu 5.046792984008789 -21.402965545654297
p+epo 5.530918121337891 -20.805194854736328
p+nld 4.718990325927734 -21.287532806396484
p+fin 4.687650680541992 -20.852991104125977
p+swe 4.614682674407959 -21.057619094848633
p+por 4.87235689163208 -20.36329460144043
p+ita 5.580519199371338 -21.165287017822266
p+hbs 5.647866249084473 -20.638103485107422
v+eng 5.190243244171143 -15.72974681854248
v+spa 4.23092794418335 -15.323147773742676
v+deu 5.242733001708984 -15.591957092285156
v+epo 4.568776607513428 -16.1558780670166
v+nld 5.177501678466797 -15.272632598876953
v+fin 4.770393371582031 -15.19261646270752
v+swe 4.974717617034912 -15.150825500488281
v+por 4.282710075378418 -15.440882682800293
v+ita 4.896208763122559 -16.116601943969727
v+hbs 4.42678689956665 -16.293020248413086
f+eng 1.0687670707702637 -18.92519760131836
f+spa 2.0837788581848145 -19.01687240600586
f+deu 1.0619438886642456 -19.046878814697266
f+epo 1.50299072265625 -18.489601135253906
f+nld 1.2165658473968506 -19.327482223510742
f+fin 1.6226485967636108 -19.26254653930664
f+swe 1.432812213897705 -19.34522247314453
f+por 1.9647148847579956 -18.920812606811523
f+ita 1.2006278038024902 -18.495962142944336
f+hbs 1.638687252998352 -18.32807731628418
w+eng 1.0017173290252686 -14.585935592651367
w+spa 2.067884683609009 -14.541705131530762
w+deu 1.0004385709762573 -14.477618217468262
w+epo 1.3907681703567505 -15.097140312194824
w+nld 1.2467730045318604 -14.207071304321289
w+fin 1.628867745399475 -14.295592308044434
w+swe 1.4747719764709473 -14.193077087402344
w+por 1.9527803659439087 -14.686871528625488
w+ita 1.0706863403320312 -15.009875297546387
w+hbs 1.4677350521087646 -15.263226509094238
