character x y
a+eng -35.830970764160156 -33.69167709350586
a+spa 4.110290050506592 46.530948638916016
b+eng 14.80018138885498 -39.464324951171875
b+spa -15.749505043029785 25.311077117919922
c+eng -11.517767906188965 -29.483552932739258
c+spa 19.73516845703125 24.852745056152344
d+eng 2.518540859222412 -46.913726806640625
d+spa 38.60763168334961 29.210872650146484
e+eng -43.388214111328125 -40.33064270019531
e+spa -3.44600248336792 54.58253860473633
f+eng 47.29148864746094 -4.944240093231201
f+spa 45.81001281738281 4.704357147216797
g+eng 1.6462113857269287 -32.44844055175781
g+spa 7.911582946777344 13.92931079864502
h+eng -5.940641403198242 -7.546572685241699
h+spa -1.4925730228424072 2.8489608764648438
i+eng -31.23622703552246 -23.940296173095703
i+spa -8.70322322845459 44.72201919555664
j+eng -18.623790740966797 -15.846426963806152
j+spa -4.446410179138184 19.197256088256836
k+eng -1.3959742784500122 -21.920398712158203
k+spa 18.80603790283203 12.541263580322266
l+eng -23.62003517150879 -57.23900604248047
l+spa 32.260650634765625 47.22743606567383
m+eng 10.033982276916504 -13.57560920715332
m+spa 14.95883846282959 -1.1352742910385132
n+eng -19.156414031982422 -46.67121124267578
n+spa 26.289764404296875 37.845970153808594
o+eng -47.355567932128906 -30.069631576538086
o+spa 7.549046039581299 57.44382095336914
p+eng 13.755178451538086 -27.045902252197266
p+spa 29.52119255065918 7.225683212280273
q+eng 34.55328369140625 -35.62676239013672
q+spa 40.8120002746582 -29.55573844909668
r+eng -31.83046531677246 -47.73137283325195
r+spa 19.23416519165039 49.45386505126953
s+eng -21.61217498779297 -34.61189270019531
s+spa 14.184688568115234 36.50797653198242
t+eng -7.161064147949219 -41.83268737792969
t+spa 31.379304885864258 21.8251953125
u+eng -43.52827072143555 -18.294713973999023
u+spa -3.2479848861694336 35.64797592163086
v+eng -21.254703521728516 -0.6663659811019897
v+spa -16.520917892456055 10.904934883117676
w+eng -36.23749923706055 5.62809944152832
w+spa -31.543893814086914 16.41226577758789
x+eng 26.434940338134766 -17.849271774291992
x+spa 29.475868225097656 -9.49816608428955
y+eng -32.477012634277344 -12.68335247039795
y+spa -19.703397750854492 41.583003997802734
z+eng -7.640458583831787 -56.526187896728516
z+spa 7.4762492179870605 27.241718292236328
