character x y
l+deu -9.735942840576172 2.8712852001190186
l+eng -9.60151195526123 2.8517351150512695
l+spa 1.3470009565353394 2.4679794311523438
a+deu -9.96548080444336 -6.477436542510986
a+eng -10.068756103515625 -5.722938060760498
a+spa 1.3789833784103394 -1.7567540407180786
g+deu -8.487060546875 9.741966247558594
g+eng -8.36327838897705 9.828264236450195
g+spa -0.0927843227982521 5.9955153465271
o+deu -9.718335151672363 -8.15593147277832
o+eng -10.276111602783203 -8.339424133300781
o+spa 1.6521275043487549 -0.44935399293899536
b+deu -5.477724075317383 8.2601318359375
b+eng -5.22006368637085 8.145816802978516
b+spa -3.850168228149414 7.436508655548096
r+deu -10.511035919189453 0.5080203413963318
r+eng -10.476646423339844 0.47243747115135193
r+spa 0.07072657346725464 2.1229608058929443
m+deu -10.96972942352295 10.415755271911621
m+eng -10.922938346862793 10.495523452758789
m+spa 1.8044027090072632 6.362757682800293
e+deu -8.736410140991211 -6.979516983032227
e+eng -8.777892112731934 -5.645400047302246
e+spa 1.0248469114303589 -1.1795809268951416
u+deu -6.979040145874023 -8.324216842651367
u+eng -6.755692481994629 -8.49254322052002
u+spa 0.03130250796675682 0.20472227036952972
t+deu -12.210474967956543 7.450460433959961
t+eng -12.053260803222656 7.790110111236572
t+spa 0.9637265801429749 4.802933692932129
i+deu -7.344623565673828 -6.584181308746338
i+eng -7.323939800262451 -5.881363868713379
i+spa 0.02867196500301361 -0.6301663517951965
c+deu -12.228525161743164 5.465362548828125
c+eng -12.048322677612305 5.442059516906738
c+spa -0.6563825011253357 4.923027515411377
n+deu -11.500030517578125 2.9978909492492676
n+eng -11.574315071105957 2.748591184616089
n+spa 1.008947730064392 3.0569255352020264
w+deu -5.879610538482666 -0.7338364124298096
w+eng -5.644455432891846 -0.6465563178062439
w+spa -4.405824661254883 -0.2255518138408661
k+deu -9.755533218383789 8.004688262939453
k+eng -9.663325309753418 8.015796661376953
k+spa -1.023330807685852 6.011609077453613
v+deu -7.742823123931885 0.8588318824768066
v+eng -7.570001602172852 0.902651846408844
v+spa -3.251237154006958 1.2337768077850342
s+deu -13.600147247314453 3.5829408168792725
s+eng -13.70305347442627 3.4229094982147217
s+spa -0.2434871345758438 3.68335223197937
d+deu -13.678498268127441 7.948938846588135
d+eng -13.710108757019043 8.311393737792969
d+spa 1.4076391458511353 4.690349578857422
h+deu 4.570783615112305 -4.187024116516113
h+eng 4.473208904266357 -3.9689595699310303
