character x y
l+deu -3.4872682094573975 -11.54383373260498
l+eng -3.495445966720581 -11.775606155395508
l+spa -4.929755687713623 4.950868129730225
a+deu -14.906527519226074 -1.3223978281021118
a+eng -14.634121894836426 -0.6397604942321777
a+spa -9.399914741516113 4.296809673309326
g+deu -10.037945747375488 -10.765130996704102
g+eng -10.097309112548828 -10.92860221862793
g+spa -3.4819319248199463 1.638563871383667
o+deu -16.006181716918945 -2.8648903369903564
o+eng -15.630078315734863 -3.257171392440796
o+spa -8.314204216003418 4.861191272735596
b+deu 0.9914650321006775 2.4261064529418945
b+eng 0.7233485579490662 2.535299301147461
b+spa -0.502951443195343 2.710195541381836
r+deu -1.676364541053772 -9.662639617919922
r+eng -1.5500949621200562 -9.655949592590332
r+spa -6.229343414306641 4.563572406768799
m+deu -2.24285888671875 -2.139038324356079
m+eng -2.2874085903167725 -1.8412200212478638
m+spa -2.6276280879974365 -0.4343063533306122
e+deu -16.456438064575195 -1.4667212963104248
e+eng -16.14194107055664 -0.4632733464241028
e+spa -9.287135124206543 5.058973789215088
u+deu -20.296255111694336 -0.8140788078308105
u+eng -20.458297729492188 -0.5024497509002686
u+spa -8.128445625305176 6.588103294372559
t+deu -5.224294185638428 -8.08464241027832
t+eng -5.346744060516357 -7.67230749130249
t+spa -3.8890976905822754 3.1157991886138916
i+deu -18.261962890625 -1.312180995941162
i+eng -18.34128189086914 -0.5945168137550354
i+spa -9.031661987304688 6.268717288970947
c+deu -7.710920333862305 -8.364507675170898
c+eng -7.6256184577941895 -8.092682838439941
c+spa -5.0900492668151855 1.8759760856628418
n+deu -5.099416255950928 -10.53579044342041
n+eng -5.255828380584717 -10.935311317443848
n+spa -5.179769515991211 4.194652080535889
w+deu 3.28845477104187 -5.958746433258057
w+eng 3.2924396991729736 -5.677145004272461
w+spa 3.056464672088623 -4.651933670043945
k+deu -9.81604290008545 -8.570460319519043
k+eng -9.95804214477539 -8.505890846252441
k+spa -4.096750259399414 1.0352791547775269
v+deu -0.978284478187561 -5.090911388397217
v+eng -0.8135598301887512 -4.816033840179443
v+spa 0.0590815469622612 -3.5035698413848877
s+deu -7.42832088470459 -10.272506713867188
s+eng -7.446173191070557 -10.626681327819824
s+spa -5.838177680969238 2.833949327468872
d+deu -3.7741341590881348 -7.507477760314941
d+eng -3.7415716648101807 -7.110998630523682
d+spa -3.296792984008789 3.3493094444274902
h+deu -12.0150146484375 -3.5656697750091553
h+eng -11.878079414367676 -3.325199604034424
h+spa -11.343886375427246 -2.3937864303588867
y+deu -17.98698616027832 4.362525939941406
y+eng -17.89940071105957 4.498168468475342
y+spa -10.071393966674805 7.106285572052002
p+deu -0.037058502435684204 -0.251120924949646
p+eng -0.22603636980056763 -0.00025542022194713354
p+spa -1.4082165956497192 1.1710638999938965
f+deu 3.4536800384521484 -1.1091911792755127
f+eng 3.345383405685425 -0.9087786078453064
f+spa 2.858065366744995 -0.2619474232196808
j+deu -8.244980812072754 -2.8363542556762695
j+eng -8.138605117797852 -2.5889668464660645
j+spa -7.528981685638428 -1.2266706228256226
x+deu -4.928858757019043 -3.8722622394561768
x+eng -4.945223808288574 -3.661364793777466
x+spa -4.938083171844482 -2.7960870265960693
ö+deu -20.291162490844727 6.863024711608887
ö+eng -20.203279495239258 7.064607620239258
ö+spa -19.847421646118164 7.7031121253967285
ð+deu -10.227142333984375 -0.12825655937194824
ð+eng -10.0630521774292 0.13098640739917755
ð+spa -9.246273040771484 1.2745659351348877
á+deu -13.118419647216797 1.5125762224197388
á+eng -12.93653392791748 1.7026243209838867
á+spa -12.085280418395996 2.501652956008911
í+deu -19.15915298461914 -4.081387042999268
í+eng -19.28902244567871 -4.299991607666016
í+spa -19.603443145751953 -5.004608154296875
ó+deu -17.026206970214844 9.841825485229492
ó+eng -16.77715301513672 9.942981719970703
ó+spa -15.874791145324707 10.098122596740723
z+deu -12.32957935333252 -6.880804061889648
z+eng -12.370525360107422 -6.791359901428223
z+spa -7.037320137023926 2.4852640628814697
ü+deu -18.742919921875 2.4081177711486816
ü+eng -18.81824493408203 2.53642201423645
ü+spa -11.674158096313477 6.899651050567627
q+deu -13.046958923339844 -10.542840957641602
q+eng -13.243014335632324 -10.563039779663086
q+spa -13.882756233215332 -10.50571346282959
č+deu -6.582394123077393 -5.870921611785889
č+eng -6.51543664932251 -5.618055820465088
č+spa -5.112563133239746 -0.4459294378757477
ž+deu -9.816264152526855 -5.693150997161865
ž+eng -9.53579044342041 -5.033904552459717
ž+spa -6.56448221206665 0.2228393852710724
ú+deu -13.54001522064209 10.072062492370605
ú+eng -13.335577964782715 9.953902244567871
ú+spa -12.53279972076416 9.46512222290039
é+deu -15.727449417114258 6.527579307556152
é+eng -15.497065544128418 6.6119704246521
é+spa -14.619412422180176 6.848511219024658
š+deu -8.879620552062988 -6.1295342445373535
š+eng -8.58064079284668 -5.519292831420898
š+spa -6.364529132843018 0.49572354555130005
ă+deu -16.59408950805664 2.578373432159424
ă+eng -16.111804962158203 2.681544065475464
ă+spa -11.630958557128906 5.6131510734558105
ä+deu -14.611103057861328 4.062892913818359
ä+eng -14.345860481262207 4.174549579620361
ä+spa -13.267498970031738 4.768338203430176
å+deu -21.818462371826172 2.74647855758667
å+eng -21.867870330810547 3.015984535217285
å+spa -21.9149169921875 3.911632537841797
ł+deu 0.605389416217804 -6.693480014801025
ł+eng 0.7451918721199036 -6.4008564949035645
ł+spa 1.1693605184555054 -4.15214729309082
ą+deu -5.664356708526611 9.524069786071777
ą+eng -5.735042572021484 9.301207542419434
ą+spa -6.014693737030029 8.447855949401855
ė+deu -16.690963745117188 1.1858915090560913
ė+eng -15.964762687683105 1.2164298295974731
ė+spa -10.835675239562988 5.220978736877441
