character x y
<ady> -2.085214853286743 -6.434171676635742
<afr> 2.5228140354156494 -2.640193223953247
<ain> 2.746317148208618 -3.1132681369781494
<ang> 0.20768022537231445 5.226809024810791
<ara> 5.237628936767578 3.7342259883880615
<arc> 6.205416202545166 5.343296051025391
<ast> 3.043177366256714 -3.869265079498291
<aze> 5.964073181152344 -1.658073902130127
<bak> -4.9268059730529785 -5.921289443969727
<ben> 4.398292064666748 -0.8944428563117981
<bre> -6.519500732421875 -3.626152992248535
<bul> -1.7764707803726196 2.3522417545318604
<cat> 3.208618402481079 -6.278501033782959
<ces> -5.859086513519287 3.0051329135894775
<cym> -5.612362384796143 -7.10153341293335
<dan> 2.935253381729126 4.397494792938232
<deu> -5.5873122215271 -0.9482927322387695
<dsb> -0.6904648542404175 0.5547527074813843
<ell> -7.829641342163086 0.7922946214675903
<eng> -0.6162974238395691 -5.427596569061279
<epo> -2.5135974884033203 6.906215190887451
<fao> 6.403095245361328 -4.112484455108643
<fas> 4.43411922454834 1.1054320335388184
<fin> -6.868142127990723 1.2016733884811401
<fra> -6.693726062774658 -3.2161598205566406
<gem> 1.5221668481826782 -4.839654445648193
<gla> 2.4711899757385254 -6.736895561218262
<gle> -2.8458211421966553 -3.247326612472534
<hbs> -4.4930806159973145 4.515472888946533
<heb> 4.845202922821045 6.664752960205078
<hin> 3.14030122756958 2.0935380458831787
<hun> -3.7522168159484863 -0.03053421899676323
<hye> 2.9426393508911133 0.8770191073417664
<ido> -1.052282691001892 1.5308676958084106
<isl> 7.980793476104736 -3.1319992542266846
<ita> -2.9420011043548584 7.459356307983398
<jbo> -6.102211952209473 4.899872303009033
<jpn> 6.961541175842285 0.844593346118927
<kat> -4.670516014099121 2.089552164077759
<kbd> -1.3960198163986206 -3.0018694400787354
<kor> 7.44246768951416 1.2040975093841553
<kur> 4.082097053527832 3.473614454269409
<lao> 8.354822158813477 3.3454365730285645
<lat> -0.2031092494726181 2.526461124420166
<lav> 6.806336402893066 2.364448070526123
<lit> -3.952946424484253 -2.1607775688171387
<ltz> -1.021263599395752 4.5773797035217285
<mkd> -4.064560413360596 3.901829719543457
<mlt> -4.623991012573242 -4.938052177429199
<msa> -1.1423873901367188 7.203186511993408
<mul> -0.5496665239334106 -6.233123302459717
<mya> -0.05775583162903786 -8.088275909423828
<nan> 8.302189826965332 3.8301453590393066
<nci> -3.381652355194092 -6.06978702545166
<nld> -8.179261207580566 -0.13597533106803894
<nno> -3.3734371662139893 -7.298038959503174
<nob> -1.7165367603302002 -3.9611032009124756
<oci> 2.551091432571411 -5.548302173614502
<pol> -4.045609474182129 5.616455554962158
<por> -7.829286098480225 -2.884150981903076
<pus> 5.9279608726501465 6.402829647064209
<ron> -3.543532133102417 1.0578334331512451
<rus> -1.6492151021957397 -0.9625645279884338
<san> 8.494014739990234 5.283380508422852
<scn> 4.377850532531738 -4.030912399291992
<sco> 0.9578841328620911 -6.42767333984375
<sga> 7.192127227783203 -4.457306861877441
<slk> -6.003615856170654 4.045091152191162
<slv> -3.112820625305176 4.017789363861084
<spa> -3.8762011528015137 -3.453068971633911
<sqi> 3.971820831298828 -0.48671549558639526
<swe> -2.955922842025757 -0.6805256009101868
<syc> 5.860879898071289 5.261233806610107
<tel> 8.97205638885498 5.7096452713012695
<tgk> 1.9725143909454346 5.4473981857299805
<tgl> 9.825769424438477 4.0876240730285645
<tha> 9.639351844787598 2.3334553241729736
<tur> 2.058523416519165 0.7500085830688477
<ukr> 0.15128692984580994 -1.870079517364502
<urd> 4.532577991485596 -6.207779407501221
<vie> 7.327807426452637 -1.5950356721878052
<vol> 1.3330010175704956 6.232053756713867
<yid> -5.596999645233154 -1.308153748512268
<yue> 0.5573381781578064 -1.0617514848709106
<zho> 8.136113166809082 1.2467509508132935
