aar,5
abk,21
aby,12
ach,2
ady,86
aek,5
afr,26
agm,5
aht,8
aia,4
ain,16
aka,3
akr,1
akz,3
ale,2
alp,4
alt,17
amh,23
ami,14
amm,5
ang,39
ank,9
apw,3
ara,68
arc,35
arg,19
arn,4
arz,19
ast,41
aud,4
ava,6
ayl,18
aze,46
bak,39
bal,4
ban,9
bar,4
bbc,8
bcl,5
bdr,9
bel,15
ben,40
bis,1
bjn,12
bnn,9
bod,7
bos,34
bre,34
brg,4
btf,4
bua,14
bul,37
byq,9
bzq,4
cat,33
ccc,7
ceb,7
ces,36
cha,8
chk,2
chm,1
chr,2
chu,14
chv,20
chy,6
cia,1
cic,10
cjs,22
cmn,19
com,3
cor,28
cos,6
crh,34
cri,16
csb,15
cym,45
dan,103
deu,41
dlm,6
dob,3
dru,4
dsb,53
dum,9
egl,18
egy,22
ell,26
eng,42
enm,1
epo,31
est,11
ett,4
eus,23
ewe,23
fao,102
fas,88
fij,7
fin,27
fra,37
frk,8
frm,9
fro,8
frp,27
fry,7
gag,2
gem,49
gla,56
gle,53
glg,25
glv,22
gml,10
goh,4
got,21
grc,27
gsw,8
guj,13
gvf,7
haw,12
hbs,27
hdn,2
heb,23
hif,20
hil,4
hin,49
hrv,15
hrx,10
hsb,19
hts,9
hun,35
hye,33
ido,35
iii,35
ile,1
ina,34
ind,24
isd,3
isl,34
ita,30
itl,6
jbo,34
jpn,25
kaa,17
kab,2
kac,22
kan,10
kat,32
kay,3
kaz,12
kbd,42
kca,1
kgp,5
khb,6
khm,12
kij,11
kin,2
kld,11
kor,32
krc,6
krl,5
kur,53
kyu,6
lad,5
lao,29
lat,45
lav,31
lez,8
lfn,7
lij,9
lim,22
lit,46
lnd,4
ltc,2
ltg,3
ltz,42
luo,9
mal,27
mdf,6
mhn,3
mkd,29
mlg,29
mlt,26
mng,4
moh,21
mon,35
mri,8
msa,43
mtq,6
mul,73
mww,25
mya,42
myv,6
nah,8
nan,24
nap,11
naq,4
nav,18
nci,34
nds,18
nhx,10
nld,39
nno,52
nob,34
nor,39
nrf,6
oci,35
ofs,8
osp,18
oss,18
osx,8
pal,5
pan,14
pol,36
pon,3
por,38
ppl,11
prg,9
pua,4
pus,43
que,13
qya,6
rap,5
roh,8
rom,22
ron,32
rue,3
run,2
ruq,3
rus,38
ryu,12
sah,17
san,23
sat,6
scn,71
sco,58
sdh,9
sei,8
sga,47
sin,15
sjd,7
slk,38
slv,28
sme,9
smn,2
sms,14
som,4
sot,1
spa,26
sqi,62
squ,11
srp,15
stp,6
str,14
swa,23
swe,36
syc,38
tam,22
tat,23
tel,34
tfn,9
tgk,48
tgl,22
tha,38
tlh,21
tli,8
tpi,13
tpw,8
tsi,7
tsn,16
tso,1
tts,3
tuk,12
tur,33
tvl,1
twf,19
tyv,3
tzl,3
tzm,1
udm,27
uig,25
ukr,30
umb,3
unk,23
unknown,100
unm,14
urb,7
urd,42
uzb,10
vep,5
vie,38
vol,31
wiy,5
wlm,12
wln,7
wol,4
wuu,3
xal,17
xbc,1
xcl,21
xfa,2
xho,2
yai,1
yid,35
yox,5
yrk,2
yua,9
yue,23
zha,24
zho,76
zlm,6
zpq,14
zul,14
zza,10
