lang,per,wer_1,train_count,test_count
ady,0.092,0.32,2914.0,200.0
afr,0.6881,0.945,166.0,200.0
ang,0.2294,0.575,1612.0,200.0
ara,0.7312,1.0,300.0,200.0
arc,0.2471,0.695,781.0,200.0
ast,0.6892,0.985,150.0,200.0
aze,0.8714,1.0,70.0,200.0
bak,0.1623,0.405,1255.0,200.0
ben,0.8567,1.0,103.0,200.0
bre,0.4765,0.88,305.0,200.0
bul,0.0081,0.045,9000.0,200.0
cat,0.3229,0.82,1453.0,200.0
ces,0.0265,0.08,6953.0,200.0
cym,0.2152,0.55,1665.0,200.0
dan,0.2926,0.675,3058.0,200.0
deu,0.0502,0.25,9000.0,200.0
dsb,0.1235,0.305,1361.0,200.0
ell,0.0321,0.19,6593.0,200.0
eng,0.1906,0.61,9000.0,200.0
epo,0.0351,0.07,9000.0,200.0
eus,0.7711,1.0,48.0,200.0
fao,0.271,0.75,2330.0,200.0
fas,0.227,0.685,2379.0,200.0
fin,0.0261,0.155,8007.0,200.0
fra,0.0311,0.19,9000.0,200.0
gla,0.7195,0.96,357.0,200.0
gle,0.1593,0.395,2546.0,200.0
hbs,0.0012,0.01,9000.0,200.0
heb,0.4622,0.87,590.0,200.0
hin,0.4199,0.81,728.0,200.0
hun,0.0168,0.09,9000.0,200.0
hye,0.0416,0.18,6734.0,200.0
ido,0.5591,1.0,243.0,200.0
ina,0.8165,1.0,35.0,200.0
isl,0.0674,0.22,4235.0,200.0
ita,0.1401,0.485,4842.0,200.0
jbo,0.0229,0.05,1070.0,200.0
jpn,0.76,0.98,1651.0,200.0
kat,0.0011,0.01,9000.0,200.0
kbd,0.6526,0.98,185.0,200.0
kor,0.8058,1.0,422.0,200.0
kur,0.9076,1.0,58.0,200.0
lao,0.492,0.95,284.0,200.0
lat,0.0254,0.155,5206.0,200.0
lav,0.7812,1.0,72.0,200.0
lit,0.0073,0.05,9000.0,200.0
ltz,0.1361,0.33,787.0,200.0
mkd,0.6268,1.0,276.0,200.0
mlt,0.2946,0.68,540.0,200.0
msa,0.1073,0.35,2096.0,200.0
mya,0.4468,0.65,464.0,200.0
nci,0.2368,0.66,1305.0,200.0
nld,0.0882,0.285,4153.0,200.0
nno,0.5212,0.94,342.0,200.0
nob,0.7918,1.0,113.0,200.0
nor,0.9526,1.0,26.0,200.0
oci,0.9121,1.0,51.0,200.0
pol,0.0352,0.185,9000.0,200.0
por,0.1295,0.48,7695.0,200.0
pus,0.4175,0.86,567.0,200.0
ron,0.0184,0.105,4441.0,200.0
rus,0.1029,0.5,9000.0,200.0
san,0.5642,0.985,266.0,200.0
scn,0.4604,0.895,427.0,200.0
sco,0.6083,0.98,253.0,200.0
sga,0.7217,1.0,93.0,200.0
slk,0.6305,0.975,346.0,200.0
slv,0.156,0.52,1357.0,200.0
spa,0.0488,0.235,4814.0,200.0
sqi,0.2508,0.655,759.0,200.0
swe,0.1337,0.505,3178.0,200.0
syc,0.2936,0.78,1803.0,200.0
tel,0.4915,0.935,236.0,200.0
tgk,0.727,0.995,113.0,200.0
tgl,0.6273,0.99,141.0,200.0
tha,0.4674,0.8,2237.0,200.0
tur,0.1211,0.505,2567.0,200.0
ukr,0.6863,0.985,160.0,200.0
urd,0.773,1.0,106.0,200.0
vol,0.2097,0.545,592.0,200.0
yid,0.886,1.0,61.0,200.0
yue,0.018,0.07,884.0,200.0
zho,0.8406,1.0,451.0,200.0
