feature	test_accuracy_lr	test_accuracy_baseline	samples
P_VOICED_PLOSIVES	0.8603174603174605	0.8095238095238095	41
P_VOICED_FRICATIVES	0.6496031746031746	0.7825396825396825	41
P_UVULARS	0.7805555555555556	0.7333333333333333	41
P_UVULAR_STOPS	0.85	0.8555555555555555	41
P_UVULAR_CONTINUANTS	0.778968253968254	0.7825396825396825	41
P_LATERAL_L	0.6746031746031746	0.8325396825396825	41
P_FRONT_ROUND_VOWELS	0.6714285714285715	0.7095238095238094	41
P_TH	0.7380952380952381	0.8325396825396825	41
P_TONE	0.8488888888888889	0.7566666666666666	45
INV_VOICED_BILABIAL_PLOSIVE	0.7965034965034965	0.8144522144522146	59
INV_VOICELESS_PALATAL_PLOSIVE	0.8151515151515152	0.8484848484848484	59
INV_VOICED_ALVEOLAR_PLOSIVE	0.7287878787878788	0.6787878787878787	59
INV_CLOSE_MID_FRONT_UNROUNDED_VOWEL	0.6424242424242423	0.6787878787878787	59
INV_VOICELESS_LABIODENTAL_FRICATIVE	0.7237762237762239	0.8144522144522146	59
INV_VOICELESS_GLOTTAL_FRICATIVE	0.644055944055944	0.6442890442890442	59
INV_CLOSE_FRONT_UNROUNDED_VOWEL	0.8493006993006993	0.8995337995337994	59
INV_ALVEOLAR_LATERAL_APPROXIMANT	0.8469696969696969	0.915151515151515	59
INV_CLOSE_MID_BACK_UNROUNDED_VOWEL	0.8146853146853147	0.8662004662004662	59
INV_VOICELESS_UVULAR_PLOSIVE	0.883916083916084	0.8839160839160838	59
INV_ALVEOLAR_TRILL	0.6090909090909091	0.593939393939394	59
INV_CLOSE_BACK_ROUNDED_VOWEL	0.8287878787878787	0.8484848484848484	59
INV_VOICED_LABIODENTAL_FRICATIVE	0.746969696969697	0.5757575757575758	59
INV_VOICED_LABIAL_VELAR_APPROXIMANT	0.6106060606060606	0.593939393939394	59
INV_VOICELESS_VELAR_FRICATIVE	0.6248251748251747	0.5258741258741259	59
INV_CLOSE_FRONT_ROUNDED_VOWEL	0.6954545454545455	0.7636363636363637	59
INV_OPEN_OPEN_MID_FRONT_UNROUNDED_VOWEL	0.6947552447552447	0.7293706293706295	59
INV_VOICELESS_PALATAL_FRICATIVE	0.8828671328671328	0.8662004662004662	59
INV_VOICED_DENTAL_FRICATIVE	0.8995337995337994	0.8995337995337994	59
INV_CLOSE_MID_FRONT_ROUNDED_VOWEL	0.7836829836829837	0.8144522144522146	59
INV_VELAR_NASAL	0.7586247086247087	0.5258741258741259	59
INV_OPEN_MID_FRONT_ROUNDED_VOWEL	0.8657342657342657	0.8839160839160838	59
