feature	test_accuracy_lr	test_accuracy_baseline	samples
P_UVULARS	0.55	0.6900000000000001	22
P_UVULAR_CONTINUANTS	0.41666666666666663	0.7333333333333333	22
P_FRONT_ROUND_VOWELS	0.65	0.7333333333333333	22
INV_VOICED_BILABIAL_PLOSIVE	0.7047619047619048	0.8380952380952381	31
INV_VOICELESS_PALATAL_PLOSIVE	0.8380952380952381	0.8380952380952381	31
INV_VOICED_ALVEOLAR_PLOSIVE	0.8714285714285716	0.8095238095238095	31
INV_CLOSE_MID_FRONT_UNROUNDED_VOWEL	0.7104761904761905	0.7790476190476191	31
INV_VOICELESS_GLOTTAL_FRICATIVE	0.5552380952380952	0.5485714285714286	31
INV_ALVEOLAR_TRILL	0.6190476190476191	0.6476190476190475	31
INV_VOICED_LABIODENTAL_FRICATIVE	0.6133333333333334	0.7123809523809523	31
INV_VOICED_LABIAL_VELAR_APPROXIMANT	0.6057142857142858	0.5485714285714286	31
INV_VOICELESS_VELAR_FRICATIVE	0.5199999999999999	0.5485714285714286	31
INV_CLOSE_FRONT_ROUNDED_VOWEL	0.5828571428571429	0.7485714285714286	31
INV_OPEN_OPEN_MID_FRONT_UNROUNDED_VOWEL	0.6371428571428571	0.7790476190476191	31
INV_CLOSE_MID_FRONT_ROUNDED_VOWEL	0.6114285714285714	0.7485714285714286	31
INV_VELAR_NASAL	0.7428571428571429	0.5142857142857142	31
INV_OPEN_MID_FRONT_ROUNDED_VOWEL	0.7714285714285715	0.8380952380952381	31
INV_OPEN_OPEN_MID_CENTRAL_UNROUNDED_VOWEL	0.8428571428571429	0.8380952380952381	31
INV_OPEN_BACK_UNROUNDED_VOWEL	0.5314285714285714	0.7485714285714286	31
INV_OPEN_MID_BACK_ROUNDED_VOWEL	0.6714285714285715	0.6152380952380951	31
INV_MID_CENTRAL_UNROUNDED_VOWEL	0.6761904761904762	0.6761904761904761	31
INV_OPEN_MID_FRONT_UNROUNDED_VOWEL	0.5857142857142856	0.6761904761904761	31
INV_VOICED_VELAR_FRICATIVE	0.8428571428571429	0.7790476190476191	31
INV_CLOSE_CLOSE_MID_HIGH_FRONT_UNROUNDED_VOWEL	0.7761904761904762	0.6476190476190475	31
INV_PALATAL_NASAL	0.5866666666666667	0.5485714285714286	31
INV_ALVEOLAR_TAP	0.5761904761904761	0.6761904761904761	31
INV_VOICELESS_POSTALVEOLAR_FRICATIVE	0.6438095238095237	0.7790476190476191	31
INV_LABIODENTAL_APPROXIMANT	0.8047619047619048	0.6761904761904761	31
INV_PALATAL_LATERAL_APPROXIMANT	0.5942857142857143	0.7485714285714286	31
INV_VOICED_POSTALVEOLAR_FRICATIVE	0.5247619047619048	0.6152380952380951	31
INV_GLOTTAL_PLOSIVE	0.6142857142857143	0.6476190476190475	31
INV_VOICELESS_DENTAL_FRICATIVE	0.7714285714285715	0.8380952380952381	31
INV_PLACE_DENTAL	0.7476190476190476	0.8380952380952381	31
INV_PLACE_ALVEOPALATAL	0.8714285714285716	0.8380952380952381	31
INV_PLACE_LABIOVELARIZED_VELAR	0.6266666666666667	0.6152380952380951	31
INV_PLACE_UVULAR	0.7095238095238094	0.6476190476190475	31
INV_PLACE_FRONT_ROUND	0.6104761904761904	0.7123809523809523	31
INV_APICICAL_LAMIMANL	0.4847619047619047	0.7123809523809523	31
INV_VELAR_UVULAR	0.7095238095238094	0.6476190476190475	31
INV_NASAL_MINUS_NASAL	0.8428571428571429	0.8380952380952381	31
INV_TENSE_MINUS_TENSE	0.7257142857142858	0.5828571428571429	31
INV_ROUND_MINUS_ROUND	0.5752380952380952	0.5485714285714286	31
INV_HI_MINUS_HI	0.8428571428571429	0.8380952380952381	31
INV_LO_MINUS_LO	0.7790476190476191	0.7123809523809523	31
INV_VOWEL_5	0.8380952380952381	0.8380952380952381	31
INV_VOWEL_6	0.8047619047619048	0.8380952380952381	31
INV_VOW_10_MORE	0.6428571428571428	0.6476190476190475	31
INV_CONS_ASP	0.5428571428571429	0.6761904761904761	31
INV_CONT_VD_VLESS	0.8380952380952381	0.8095238095238095	31
P_VELAR_NASAL	0.8800000000000001	0.6399999999999999	19
